,nectar.at.flower.scale.in..microgram.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year
species,mean.nectar.sugar.content.per.flower,var.nectar.sugar.content.per.flower,n.nectar.sugar.content.per.flower,mean.potential.max.nectar.sugar.content.per.flower,var.potential.max.nectar.sugar.content.per.flower,n.potential.max.nectar.sugar.content.per.flower,empirical.nectar.productivity.value,log10(value.plus.1)modelled.nectar.productivity,log10(95%lwr+1)modelled.nectar.productivity,log10(95%upr+1)modelled.nectar.productivity,modelled.nectar.productivity.value,nectar.productivity.default.value,final.nectar.productivity.value,origin.of.values
Medicago sativa,146.14,5026.68,10,146.14,5026.68,10,126.4,1.38775376,0.86554125,1.90996627,23.42045536,NA,126.4,empirical
Melilotus officinalis,20.17,172.73,10,28.99,357.58,10,107.32,2.21990254,1.49185377,2.94795131,164.9214511,NA,107.32,empirical
Mentha aquatica,NA,NA,NA,NA,NA,NA,NA,2.24653334,1.66688591,2.82618077,175.4141183,NA,175.41,modelled
Mercurialis perennis,0,0,20,0,0,20,0,0.06490783,-0.60345284,0.7332685,0.16120215,NA,0,empirical
Montia fontana,NA,NA,NA,NA,NA,NA,NA,0.9271751,-0.41555202,2.26990222,7.45619713,NA,7.46,modelled
Myosotis arvensis,23.36,374,20,48.11,1456.49,20,478.1,2.68042727,1.35529372,4.00556081,478.1012094,NA,478.1,empirical
Narthecium ossifragum,0,0,10,0,0,10,0,0.13428952,-0.64921792,0.91779695,0.36235257,NA,0,empirical
Odontites vernus,10.84,275.8,10,23.3,1112.36,10,NA,1.95618604,1.33266347,2.57970862,89.40366612,NA,89.4,modelled
Oenanthe crocata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onobrychis viciifolia,NA,NA,NA,NA,NA,NA,NA,1.7087632,1.29861346,2.11891294,50.14029157,NA,50.14,modelled
Origanum vulgare,49.84,925.94,20,49.84,925.94,20,901.57,2.24653334,1.66688591,2.82618077,175.4141183,NA,901.57,empirical
Oxalis acetosella,15.53,142.22,20,26.73,294.3,20,3.76,1.30641051,0.55472833,2.05809269,19.24932299,NA,3.76,empirical
Papaver dubium,NA,NA,NA,NA,NA,NA,NA,-0.02676313,-1.40143814,1.34791188,-0.05976402,NA,0,modelled
Papaver rhoeas,5.35,105.1,14,8.94,386.83,14,0.47,0.16604703,-1.15908652,1.49118057,0.46570654,NA,0.47,empirical
Papaver somniferum,NA,NA,NA,NA,NA,NA,NA,0.53181288,-0.82858241,1.89220818,2.40261556,NA,2.4,modelled
Pastinaca sativa,0.13,0.16,20,0.25,0.59,20,NA,1.88788816,1.03822049,2.73755583,76.24816283,NA,76.25,modelled
Pedicularis sylvatica,NA,NA,NA,NA,NA,NA,NA,2.25828747,1.16631383,3.35026112,180.2539473,NA,180.25,modelled
